car_id,timestamp,Hour,Weekday name,month name,season
1,2017-01-01 0:00:00,00,Sunday,January,spring
2,2017-01-01 1:00:00,01,Sunday,January,spring
3,2017-01-01 2:00:00,02,Sunday,January,spring
4,2017-01-01 3:00:00,03,Sunday,January,spring
5,2017-01-01 4:00:00,04,Sunday,January,spring
6,2017-01-01 5:00:00,05,Sunday,January,spring
7,2017-01-01 6:00:00,06,Sunday,January,spring
8,2017-01-01 7:00:00,07,Sunday,January,spring
9,2017-01-01 8:00:00,08,Sunday,January,spring
10,2017-01-01 9:00:00,09,Sunday,January,spring
11,2017-01-01 10:00:00,10,Sunday,January,spring
12,2017-01-01 11:00:00,11,Sunday,January,spring
13,2017-01-01 12:00:00,12,Sunday,January,spring
14,2017-01-01 13:00:00,13,Sunday,January,spring
15,2017-01-01 14:00:00,14,Sunday,January,spring
16,2017-01-01 15:00:00,15,Sunday,January,spring
17,2017-01-01 16:00:00,16,Sunday,January,spring
18,2017-01-01 17:00:00,17,Sunday,January,spring
19,2017-01-01 18:00:00,18,Sunday,January,spring
20,2017-01-01 19:00:00,19,Sunday,January,spring
21,2017-01-01 20:00:00,20,Sunday,January,spring
22,2017-01-01 21:00:00,21,Sunday,January,spring
23,2017-01-01 22:00:00,22,Sunday,January,spring
24,2017-01-01 23:00:00,23,Sunday,January,spring
25,2017-01-02 0:00:00,00,Monday,January,spring
26,2017-01-02 1:00:00,01,Monday,January,spring
27,2017-01-02 2:00:00,02,Monday,January,spring
28,2017-01-02 3:00:00,03,Monday,January,spring
29,2017-01-02 4:00:00,04,Monday,January,spring
30,2017-01-02 6:00:00,06,Monday,January,spring
31,2017-01-02 7:00:00,07,Monday,January,spring
32,2017-01-02 8:00:00,08,Monday,January,spring
33,2017-01-02 9:00:00,09,Monday,January,spring
34,2017-01-02 10:00:00,10,Monday,January,spring
35,2017-01-02 11:00:00,11,Monday,January,spring
36,2017-01-02 12:00:00,12,Monday,January,spring
37,2017-01-02 13:00:00,13,Monday,January,spring
38,2017-01-02 14:00:00,14,Monday,January,spring
39,2017-01-02 15:00:00,15,Monday,January,spring
40,2017-01-02 16:00:00,16,Monday,January,spring
41,2017-01-02 17:00:00,17,Monday,January,spring
42,2017-01-02 18:00:00,18,Monday,January,spring
43,2017-01-02 19:00:00,19,Monday,January,spring
44,2017-01-02 20:00:00,20,Monday,January,spring
